gene	chr	start	end
KLHL24	3	183635602	183684519
YEATS2	3	183697748	183812805
YEATS2-AS1	3	183806457	183810783
MAP6D1	3	183815884	183825594
PARL	3	183829271	183884933
ABCC5	3	183919934	184017939
ABCC5-AS1	3	184006338	184011419
HTR3D	3	184031544	184039369
HTR3C	3	184053047	184060673
HTR3E-AS1	3	184095118	184105178
HTR3E	3	184097064	184106995
EIF2B5	3	184135038	184146127
DVL3	3	184155159	184173614
AP2M1	3	184174689	184184214
ABCF3	3	184186095	184194013
VWA5B2	3	184228996	184242342
ALG3	3	184242301	184249548
CAMK2N2	3	184259213	184261553
ECE2	3	184275531	184293031
PSMD2	3	184299157	184309054
EIF4G1	3	184314490	184335358
FAM131A	3	184335926	184348421
CLCN2	3	184346185	184363274
POLR2H	3	184360856	184368596
THPO	3	184371935	184381968
CHRD	3	184379381	184390736
EPHB3	3	184561776	184582408
MAGEF1	3	184710364	184712064
VPS8	3	184812113	185054009
C3orf70	3	185076838	185153060
EHHADH	3	185190624	185281990
MAP3K13	3	185282941	185489094
TMEM41A	3	185476496	185499057
LIPH	3	185506262	185552617
SENP2	3	185582496	185633551
IGF2BP2	3	185643130	185825061
IGF2BP2-AS1	3	185712528	185729787
TRA2B	3	185914558	185938103
ETV5	3	186046314	186110318
DGKG	3	186105668	186362261
CRYGS	3	186538441	186546702
TBCCD1	3	186546067	186570543
DNAJB11	3	186567403	186585800
AHSG	3	186612776	186621318
FETUB	3	186634558	186653778
HRG	3	186660216	186678452
KNG1	3	186717329	186744410
EIF4A2	3	186783205	186789901
RFC4	3	186789880	186807058
ADIPOQ	3	186842704	186858463
ADIPOQ-AS1	3	186851886	186856123
ST6GAL1	3	186930325	187078932
RPL39L	3	187120927	187180972
RTP1	3	187197486	187201462
MASP1	3	187217282	187291980
RTP4	3	187368385	187372076
SST	3	187668912	187670394
RTP2	3	187698259	187702656
BCL6	3	187721377	187745725
LPP-AS2	3	188151206	188154087
LPP	3	188152994	188890671
LPP-AS1	3	188562238	188568949
TPRG1-AS1	3	188941196	188947829
TPRG1	3	188947214	189325304
TPRG1-AS2	3	189238686	189240594
TP63	3	189631389	189897276
P3H2	3	189956728	190122437
P3H2-AS1	3	190120219	190321535
CLDN1	3	190305707	190322446
CLDN16	3	190322522	190412460
TMEM207	3	190428655	190449901
IL1RAP	3	190514051	190659750
GMNC	3	190852737	190892429
OSTN	3	191199241	191265615
OSTN-AS1	3	191213290	191261138
UTS2B	3	191267168	191330572
CCDC50	3	191329085	191398659
PYDC2	3	191461163	191461456
FGF12	3	192139390	192767764
FGF12-AS2	3	192515022	192516573
FGF12-AS3	3	192516831	192521398
MB21D2	3	192796815	192917856
ATP13A5	3	193274789	193378820
ATP13A5-AS1	3	193307244	193314362
ATP13A4	3	193398967	193593111
ATP13A4-AS1	3	193506780	193555586
OPA1	3	193593144	193697811
OPA1-AS1	3	193618609	193627337
HES1	3	194136142	194138732
LINC00887	3	194200261	194324520
CPN2	3	194339630	194351401
LRRC15	3	194355249	194369743
GP5	3	194394821	194399266
ATP13A3	3	194402672	194498364
TMEM44-AS1	3	194583969	194590263
TMEM44	3	194587673	194633689
LSG1	3	194640791	194672463
FAM43A	3	194685883	194689037
XXYLT1	3	195068284	195271159
XXYLT1-AS2	3	195147723	195152858
ACAP2	3	195274738	195443091
PPP1R2	3	195514428	195543386
APOD	3	195568705	195584033
MUC20	3	195720884	195741123
MUC4	3	195746765	195811973
TNK2	3	195863364	195911945
TNK2-AS1	3	195908076	195913986
TFRC	3	196012511	196082162
LINC00885	3	196141940	196193538
ZDHHC19	3	196197452	196211437
SLC51A	3	196211487	196243178
PCYT1A	3	196214222	196287957
TM4SF19-AS1	3	196318288	196325570
TM4SF19	3	196319342	196338503
UBXN7	3	196347659	196432430
UBXN7-AS1	3	196431385	196433034
RNF168	3	196468783	196503768
SMCO1	3	196506878	196515347
WDR53	3	196552228	196569263
FBXO45	3	196568611	196589059
LINC01063	3	196631009	196632706
NRROS	3	196639694	196662004
PIGX	3	196639775	196736007
CEP19	3	196706268	196712598
PAK2	3	196739743	196832647
SENP5	3	196867856	196934718
NCBP2	3	196935402	196942594
NCBP2-AS1	3	196939877	196942534
PIGZ	3	196946356	196969060
DLG1	3	197042560	197299330
DLG1-AS1	3	197298225	197309307
BDH1	3	197509776	197573382
RUBCN	3	197668867	197749727
FYTTD1	3	197737179	197787596
LRCH3	3	197791226	197888436
RPL35A	3	197950000	197956610
LMLN	3	197960200	198043720
LMLN-AS1	3	198027956	198081921
ZNF595	4	53286	88208
ZNF718	4	124501	202303
ZNF732	4	270675	305474
ZNF141	4	337800	384868
ZNF721	4	425815	499156
PIGG	4	499210	540200
PDE6B	4	625573	670782
MYL5	4	673521	682033
PCGF3	4	705748	770089
CPLX1	4	784957	827043
GAK	4	849275	932411
TMEM175	4	932168	958741
DGKQ	4	958884	986895
SLC26A1	4	979073	997659
IDUA	4	986997	1008344
FGFRL1	4	1008649	1026901
RNF212	4	1056250	1113564
SPON2	4	1166932	1208962
CTBP1-AS	4	1210120	1218591
CTBP1	4	1211434	1250333
MAEA	4	1289876	1340147
UVSSA	4	1345691	1395989
FAM53A	4	1617915	1684313
SLBP	4	1692731	1712344
TACC3	4	1712858	1745178
TMEM129	4	1715951	1721358
FGFR3	4	1793286	1808873
LETM1	4	1811479	1856232
NELFA	4	1982717	2041903
NAT8L	4	2059327	2069089
POLN	4	2071918	2242121
HAUS3	4	2227464	2242133
MXD4	4	2247432	2262115
ZFYVE28	4	2269582	2418651
CFAP99	4	2418955	2463003
RNF4	4	2462220	2515859
FAM193A	4	2536646	2732573
TNIP2	4	2741648	2756367
SH3BP2	4	2793020	2841291
ADD1	4	2843576	2930082
NOP14-AS1	4	2934876	2961738
NOP14	4	2937933	2963406
GRK4	4	2963571	3040760
HTT	4	3041363	3243957
HTT-AS	4	3046139	3074624
MSANTD1	4	3244369	3271738
RGS12	4	3293021	3439913
HGFAC	4	3441924	3449493
DOK7	4	3463306	3501473
LRPAP1	4	3503612	3532446
ADRA2C	4	3766348	3768526
TMEM128	4	4235541	4248239
LYAR	4	4267572	4290196
ZBTB49	4	4290238	4321786
NSG1	4	4348140	4419058
STX18	4	4415742	4542346
STX18-AS1	4	4542090	4821468
LINC01396	4	4844188	4850835
MSX1	4	4859665	4863936
CYTL1	4	5014586	5019486
STK32B	4	5051480	5500994
EVC2	4	5542772	5709548
EVC	4	5711201	5814305
CRMP1	4	5748084	5893086
C4orf50	4	5897373	6200555
JAKMIP1	4	6026199	6200591
WFS1	4	6269839	6303265
PPP2R2C	4	6320578	6563600
MAN2B2	4	6575174	6623362
MRFAP1	4	6640091	6642729
S100P	4	6693878	6697170
MRFAP1L1	4	6707693	6709923
BLOC1S4	4	6716174	6717664
KIAA0232	4	6781375	6884170
TBC1D14	4	6909242	7033118
TADA2B	4	7041899	7057952
GRPEL1	4	7058643	7068145
SORCS2	4	7192538	7742827
PSAPL1	4	7430285	7434930
AFAP1-AS1	4	7754077	7778928
AFAP1	4	7758713	7939926
ABLIM2	4	7965310	8158832
SH3TC1	4	8182072	8241803
HTRA3	4	8269749	8307110
ACOX3	4	8365885	8440750
TRMT44	4	8436140	8493531
GPR78	4	8558725	8619761
CPZ	4	8592660	8619761
HMX1	4	8846076	8871839
FAM90A26	4	9170409	9176730
SLC2A9	4	9771153	10054936
DRD5	4	9781387	9784012
WDR1	4	10068089	10116988
ZNF518B	4	10439873	10461381
CLNK	4	10486395	10684768
HS3ST1	4	11393150	11429564
RAB28	4	13361354	13484365
LINC01097	4	13526319	13534335
NKX3-2	4	13540830	13544508
LINC01096	4	13546075	13547822
BOD1L1	4	13568738	13627725
LINC01182	4	13654295	14254578
LINC00504	4	14470465	14888169
CPEB2	4	15002481	15070153
C1QTNF7	4	15339818	15446167
CC2D2A	4	15469865	15602097
FBXL5	4	15604381	15681679
FAM200B	4	15681506	15690447
BST1	4	15703000	15775614
CD38	4	15778275	15853232
FGFBP1	4	15934507	15939171
FGFBP2	4	15960245	15969309
PROM1	4	15963076	16084378
TAPT1	4	16160505	16227410
TAPT1-AS1	4	16226685	16323197
LDB2	4	16501534	16898924
QDPR	4	17460261	17512206
CLRN2	4	17515165	17527104
LAP3	4	17577198	17607975
MED28	4	17614641	17634105
FAM184B	4	17629306	17781621
DCAF16	4	17793446	17810758
NCAPG	4	17810844	17844865
LCORL	4	17841187	18021993
SLIT2	4	20251903	20620561
PACRGL	4	20696282	20752907
KCNIP4	4	20728606	21948772
KCNIP4-IT1	4	21843341	21853188
ADGRA3	4	22345071	22516089
ERVH-1	4	23723262	23733579
PPARGC1A	4	23755041	23904089
DHX15	4	24517441	24584603
SOD3	4	24789912	24800848
CCDC149	4	24803514	24980204
LGI2	4	24998847	25030965
SEPSECS	4	25120014	25160550
SEPSECS-AS1	4	25160641	25201440
PI4K2B	4	25160663	25280542
ZCCHC4	4	25312774	25372306
ANAPC4	4	25377210	25420310
SLC34A2	4	25648011	25679132
SEL1L3	4	25747433	25863760
SMIM20	4	25861830	25929813
RBPJ	4	26163455	26435131
CCKAR	4	26481396	26490484
TBC1D19	4	26576437	26756223
STIM2	4	26857601	27025381
PCDH7	4	30720369	31146805
ARAP2	4	35948221	36244777
DTHD1	4	36281616	36347511
NWD2	4	37244743	37449463
RELL1	4	37590800	37686413
PGM2	4	37826660	37863028
TBC1D1	4	37890836	38139175
PTTG2	4	37960398	37961128
LINC01258	4	38420662	38523180
LINC01259	4	38509729	38561784
KLF3	4	38664032	38701517
TLR10	4	38772238	38782990
TLR1	4	38787555	38856817
TLR6	4	38822897	38856901
FAM114A1	4	38867677	38945740
TMEM156	4	38965999	39032922
KLHL5	4	39044721	39126857
WDR19	4	39182494	39285810
RFC1	4	39287456	39366395
KLB	4	39406930	39451533
RPL9	4	39451747	39458948
LIAS	4	39459004	39485109
UGDH	4	39498755	39528311
UGDH-AS1	4	39527713	39594707
SMIM14	4	39546336	39639088
UBE2K	4	39698109	39782792
PDS5A	4	39822863	39977987
N4BP2	4	40056658	40158252
RHOH	4	40191011	40246967
CHRNA9	4	40335333	40355217
RBM47	4	40423267	40630892
NSUN7	4	40749776	40811184
APBB2	4	40810027	41216714
UCHL1	4	41256413	41268560
LIMCH1	4	41359574	41700049
PHOX2B	4	41744082	41748725
LINC00682	4	41872738	41882955
TMEM33	4	41934403	41960803
DCAF4L1	4	41981756	41986465
SLC30A9	4	41990496	42090461
BEND4	4	42110853	42152878
SHISA3	4	42397488	42402487
ATP8A1	4	42408373	42657121
GRXCR1	4	42892713	43030658
KCTD8	4	44173903	44448928
YIPF7	4	44622088	44678795
GUF1	4	44678420	44700928
GNPDA2	4	44682200	44726588
GABRG1	4	46035769	46124054
GABRA2	4	46243548	46475230
COX7B2	4	46734827	46909245
GABRA4	4	46918900	46993581
GABRB1	4	46993723	47426447
COMMD8	4	47450787	47463730
ATP10D	4	47485275	47593486
CORIN	4	47593999	47838132
NFXL1	4	47847233	47914667
NIPAL1	4	47914142	48040173
CNGA1	4	47935128	48017301
TXK	4	48063158	48134250
TEC	4	48135783	48269858
SLAIN2	4	48341472	48426201
SLC10A4	4	48483343	48489526
ZAR1	4	48490252	48494389
FRYL	4	48497357	48780322
OCIAD1	4	48805141	48862342
OCIAD1-AS1	4	48852008	48860203
OCIAD2	4	48885019	48906937
CWH43	4	48986162	49062093
DCUN1D4	4	51843000	51916839
LRRC66	4	51993614	52020363
SGCB	4	52020706	52038299
SPATA18	4	52051304	52097302
USP46	4	52590960	52659301
ERVMER34-1	4	52722618	52751897
LINC01618	4	52789994	52815464
RASL11B	4	52862317	52866835
SCFD2	4	52872982	53366072
FIP1L1	4	53377562	53464382
LNX1	4	53459301	53701405
LNX1-AS1	4	53496400	53549583
CHIC2	4	53994803	54064605
GSX2	4	54099523	54102498
PDGFRA	4	54229130	54298246
KIT	4	54657267	54740783
KDR	4	55078476	55125595
SRD5A3	4	55346213	55373100
TMEM165	4	55395652	55453397
CLOCK	4	55427903	55547491
PDCL2	4	55556519	55592245
NMU	4	55595229	55636747
EXOC1	4	55853628	55905096
CEP135	4	55948819	56033361
AASDH	4	56337994	56387523
PPAT	4	56393362	56435616
PAICS	4	56435058	56464578
SRP72	4	56467595	56503681
ARL9	4	56505209	56524959
HOPX	4	56647989	56681877
SPINK2	4	56809860	56821742
REST	4	56907876	56966808
NOA1	4	56962876	56977623
POLR2B	4	56977722	57031158
IGFBP7	4	57030766	57110690
IGFBP7-AS1	4	57109736	57207459
ADGRL3	4	61200326	62078335
TECRL	4	64275257	64409495
EPHA5	4	65319563	65670495
EPHA5-AS1	4	65668250	65708352
CENPC	4	67468762	67545563
STAP1	4	67558482	67607343
UBA6	4	67612652	67701199
TMPRSS11D	4	67820876	67884002
TMPRSS11A	4	67909395	67964140
TMPRSS11F	4	68053198	68129869
TMPRSS11B	4	68226653	68245694
YTHDC1	4	68310387	68350098
TMPRSS11E	4	68447463	68497604
UGT2B17	4	68537146	68576413
UGT2B15	4	68646597	68670684
UGT2B10	4	68815917	68833559
UGT2B7	4	69051363	69112987
UGT2B11	4	69199951	69214748
UGT2B28	4	69280475	69295050
UGT2B4	4	69480137	69526017
UGT2A1	4	69588417	69653249
SULT1B1	4	69721167	69787961
SULT1E1	4	69838259	69861075
CSN1S1	4	69931068	69946574
CSN2	4	69955256	69965728
STATH	4	69995966	70002570
PRR27	4	70133616	70176799
ODAM	4	70195706	70205734
FDCSP	4	70226124	70235252
CSN3	4	70238382	70251474
SMR3A	4	70360760	70367158
SMR3B	4	70370093	70390244
MUC7	4	70430492	70482997
AMTN	4	70518569	70532743
AMBN	4	70592256	70607288
ENAM	4	70628744	70646824
JCHAIN	4	70655541	70681817
UTP3	4	70688532	70690551
RUFY3	4	70704204	70808619
GRSF1	4	70815783	70839903
MOB1B	4	70902326	71022449
DCK	4	70992538	71030914
SLC4A4	4	71062667	71572087
GC	4	71735436	71805527
NPFFR2	4	72031902	72148311
ADAMTS3	4	72280969	72569221
COX18	4	73052362	73069755
ANKRD17	4	73073376	73259147
ALB	4	73397114	73426607
AFP	4	73431138	73456174
AFM	4	73481665	73504036
RASSF6	4	73571550	73620631
CXCL8	4	73740519	73747379
CXCL6	4	73836640	73849064
PF4V1	4	73853296	73854483
CXCL1	4	73869392	73871308
PF4	4	73980811	73982027
PPBP	4	73985966	73988276
CXCL5	4	73995642	73998677
CXCL3	4	74036589	74038807
CXCL2	4	74097040	74099196
MTHFD2L	4	74114174	74303099
EPGN	4	74308470	74316789
EREG	4	74365145	74388749
AREG	4	74444999	74455005
BTC	4	74744759	74794717
PARM1	4	74933041	75050115
RCHY1	4	75479033	75514764
THAP6	4	75513946	75550473
CDKL2	4	75576494	75630716
G3BP2	4	75641849	75726301
USO1	4	75724522	75814290
PPEF2	4	75859864	75902571
NAAA	4	75910655	75941013
SDAD1	4	75940950	75990962
CXCL9	4	76001275	76007509
ART3	4	76011184	76114094
CXCL10	4	76021118	76023497
CXCL11	4	76033682	76041415
NUP54	4	76107562	76148509
SCARB2	4	76158737	76234536
FAM47E	4	76214040	76284294
FAM47E-STBD1	4	76251721	76311129
STBD1	4	76306733	76311130
CCDC158	4	76312997	76421868
SHROOM3	4	76435229	76783253
SOWAHB	4	76894152	76898144
CCNI	4	77047155	77076319
CCNG2	4	77157207	77433388
CXCL13	4	77511753	77611834
CNOT6L	4	77713387	77819615
MRPL1	4	77862826	77952791
FRAS1	4	78057323	78544269
ANXA3	4	78551621	78610493
BMP2K	4	78776342	78916365
PAQR3	4	78887127	78939438
LINC01088	4	78938871	79309673
NAA11	4	79225694	79326061
LINC00989	4	79491802	79623479
PCAT4	4	79827323	79878424
ANTXR2	4	79901146	80125454
PRDM8	4	80183879	80204329
FGF5	4	80266639	80336680
BMP3	4	81030632	81057627
PRKG2	4	81086874	81217970
RASGEF1B	4	81426393	82044244
HNRNPD	4	82351523	82374543
HNRNPDL	4	82422565	82430471
ENOPH1	4	82430589	82461177
TMEM150C	4	82483170	82562357
LINC00575	4	82610974	82621610
SCD5	4	82629539	82798796
SEC31A	4	82818081	82901166
THAP9-AS1	4	82893009	82900960
THAP9	4	82900684	82919969
LIN54	4	82909973	83012983
COPS4	4	83034447	83075818
PLAC8	4	83059493	83137075
COQ2	4	83261536	83284914
HPSE	4	83292461	83335153
HELQ	4	83407343	83455855
MRPS18C	4	83455932	83470428
GPAT3	4	83535619	83605875
NKX6-1	4	84491985	84499292
CDS1	4	84582879	84651334
WDFY3	4	84668765	84966690
WDFY3-AS1	4	84796614	84810403
ARHGAP24	4	85475150	86002668
MAPK10	4	85990007	86594625
PTPN13	4	86593944	86815180
SLC10A6	4	86823468	86849384
C4orf36	4	86876205	86892813
AFF1	4	86934237	87141073
KLHL8	4	87159981	87240729
HSD17B13	4	87303789	87322945
HSD17B11	4	87336515	87391219
NUDT9	4	87422573	87459455
SPARCL1	4	87473329	87531118
DSPP	4	87608529	87616873
DMP1	4	87650280	87664361
IBSP	4	87799546	87813329
MEPE	4	87821398	87846814
SPP1	4	87975667	87983532
PKD2	4	88007629	88077777
ABCG2	4	88090150	88231818
PPM1K	4	88257620	88284769
HERC6	4	88378739	88443098
HERC5	4	88457086	88506188
PYURF	4	88520998	88523776
HERC3	4	88592434	88708540
NAP1L5	4	88695913	88697829
FAM13A-AS1	4	88708622	88730103
FAM13A	4	88725955	89111398
TIGD2	4	89111533	89114901
GPRIN3	4	89236383	89307937
SNCA	4	89700345	89838315
SNCA-AS1	4	89836394	89842294
MMRN1	4	89879532	89954629
CCSER1	4	90127394	91605295
GRID2	4	92303966	93810157
ATOH1	4	93828753	93830964
SMARCAD1	4	94207605	94291293
HPGDS	4	94298507	94342876
PDLIM5	4	94451857	94668227
BMPR1B	4	94757937	95158448
UNC5C	4	95162504	95549206
PDHA2	4	95840093	95841464
STPG2	4	97184093	98143476
STPG2-AS1	4	97366679	97491899
RAP1GDS1	4	98261243	98443864
TSPAN5	4	98470365	98658690
EIF4E	4	98878761	98929150
METAP1	4	98995359	99063443
ADH5	4	99070978	99088801
ADH4	4	99123657	99157792
ADH6	4	99202436	99219537
ADH1A	4	99276365	99291552
ADH1B	4	99304971	99321659
ADH1C	4	99336093	99353887
ADH7	4	99412261	99435510
C4orf17	4	99511012	99542303
TRMT10A	4	99546709	99564039
MTTP	4	99564081	99623997
DAPP1	4	99816816	99870190
LAMTOR3	4	99878336	99894428
DNAJB14	4	99896248	99946653
DDIT4L	4	100185870	100190782
EMCN	4	100395341	100880126
PPP3CA	4	101023409	101348278
BANK1	4	101411286	102074812
SLC39A8	4	102251080	102431258
NFKB1	4	102500937	102617302
MANBA	4	102630770	102760999
UBE2D3	4	102793516	102869287
CISD2	4	102868971	102892807
SLC9B1	4	102885048	103019719
SLC9B2	4	103019868	103085829
BDH2	4	103077592	103099880
CENPE	4	103105349	103198463
TACR3	4	103586031	103719985
CXXC4	4	104468308	104494901
TET2	4	105145875	105279816
TET2-AS1	4	105171354	105353011
PPA2	4	105369077	105474113
ARHGEF38	4	105552620	105708093
INTS12	4	105682016	105895986
GSTCD	4	105708778	105849570
NPNT	4	105894775	106004027
TBCK	4	106041599	106316683
AIMP1	4	106315544	106349456
DKK2	4	106921802	107283806
PAPSS1	4	107590276	107720395
SGMS2	4	107824563	107915047
CYP2U1	4	107931531	107953465
HADH	4	107989714	108035241
LEF1	4	108047545	108168956
RPL34	4	108620508	108632886
OSTC	4	108650585	108667820
ETNPPL	4	108741969	108763228
COL25A1	4	108808725	109302752
SEC24B-AS1	4	109346134	109434572
SEC24B	4	109433602	109540896
CASP6	4	109688622	109703583
PLA2G12A	4	109709989	109730070
CFI	4	109731008	109802195
GAR1	4	109815500	109825575
RRH	4	109827972	109849123
LRIT3	4	109846013	109872315
EGF	4	109912883	110013766
ELOVL6	4	110045846	110199199
ENPEP	4	110365733	110565285
PITX2	4	110617423	110642123
LINC01438	4	110783509	110797344
AP1AR	4	112231363	112273110
TIFA	4	112272968	112285955
ALPK1	4	112285509	112442621
NEUROG2	4	112513516	112516180
ZGRF1	4	112539333	112637392
LARP7	4	112636990	112657858
ANK2	4	112818032	113384231
CAMK2D	4	113418054	113761927
ARSJ	4	113900284	113979727
UGT8	4	114598374	114678588
NDST4	4	114827763	115113876
TRAM1L1	4	117083554	117085576
LINC01378	4	117360565	117691188
NDST3	4	118033579	118258634
SNHG8	4	118278462	118285316
PRSS12	4	118280038	118353003
METTL14	4	118685387	118715433
SEC24D	4	118722822	118838683
SYNPO2	4	118850688	119061247
MYOZ2	4	119128431	119187789
USP53	4	119212128	119295518
FABP2	4	119317250	119322138
PDE5A	4	119494397	119628804
MAD2L1	4	120055623	120067192
PRDM5	4	120684919	120923089
NDNF	4	121033326	121074085
TNIP3	4	121131408	121227615
QRFPR	4	121328595	121381059
ANXA5	4	121667396	121697061
PP12613	4	121764585	121768810
EXOSC9	4	121801318	121817021
CCNA2	4	121816444	121823917
BBS7	4	121824329	121870494
TRPC3	4	121874481	121952060
IL2	4	122451470	122456725
IL21	4	122610108	122621066
IL21-AS1	4	122618983	122689164
BBS12	4	122732702	122744942
FGF2	4	122826682	122898236
NUDT6	4	122888697	122922968
SPRY1	4	123396754	123403760
LINC01091	4	123539026	123962704
ANKRD50	4	124664048	124712732
FAT4	4	125314918	125492932
INTU	4	127623271	127726737
SLC25A31	4	127730400	127774292
HSPA4L	4	127781821	127840733
PLK4	4	127880890	127899224
MFSD8	4	127917799	127966034
ABHD18	4	127965267	128039953
LARP1B	4	128060801	128222931
PGRMC2	4	128269237	128288829
JADRR	4	128768228	128769948
JADE1	4	128809576	128875224
SCLT1	4	128864921	129093600
C4orf33	4	129093317	129116640
PCDH10	4	133149294	133208606
PABPC4L	4	134196333	134201885
PCDH18	4	137518918	137532494
LINC00616	4	137967479	138131182
SLC7A11	4	138164097	138242349
NOCT	4	139015772	139045939
ELF2	4	139028112	139177224
MGARP	4	139266165	139280346
NDUFC1	4	139266880	139302564
NAA15	4	139301446	139420033
RAB33B	4	139453232	139476609
SETD7	4	139492974	139606699
MGST2	4	139665768	139741884
MAML3	4	139716753	140154212
SCOC	4	140257286	140385728
SCOC-AS1	4	140283724	140373432
CLGN	4	140387952	140427661
MGAT4D	4	140442262	140498377
ELMOD2	4	140524164	140553775
UCP1	4	140559431	140569001
TBC1D9	4	140620782	140756982
RNF150	4	140859807	141212877
ZNF330	4	141220280	141234697
IL15	4	141636237	141735276
INPP4B	4	142023160	142847432
USP38	4	143184917	143225212
GAB1	4	143336402	143474565
SMARCA5-AS1	4	143513027	143514635
SMARCA5	4	143513445	143557486
FREM3	4	143577302	143700675
GYPE	4	143870864	143905563
GYPB	4	143996104	144019380
GYPA	4	144109303	144140751
HHIP-AS1	4	144642916	144661357
HHIP	4	144646156	144745271
ANAPC10	4	144831908	145098823
ABCE1	4	145098248	145129524
OTUD4	4	145110838	145180621
SMAD1	4	145480769	145559176
SMAD1-AS1	4	145514615	145517118
MMAA	4	145599042	145660033
C4orf51	4	145680146	145771032
ZNF827	4	145757627	145938823
LINC01095	4	146077712	146121921
LSM6	4	146175685	146204436
SLC10A7	4	146253975	146522372
POU4F2	4	146638893	146642474
TTC29	4	146706617	146945882
EDNRA	4	147480917	147544954
TMEM184C	4	147617386	147672044
PRMT9	4	147635654	147684163
ARHGAP10	4	147731922	148072780
NR3C2	4	148078762	148445549
DCLK2	4	150078176	150257454
LRBA	4	150264435	151015755
MAB21L2	4	150582151	150584693
RPS3A	4	151099565	151104652
SH3D19	4	151102751	151409365
PRSS48	4	151277161	151291862
GATB	4	151670458	151761028
FBXW7	4	152320544	152536107
TMEM154	4	152618628	152680012
TIGD4	4	152768155	152779732
ARFIP1	4	152779096	152918463
FHDC1	4	152935887	152979697
TRIM2	4	153152163	153339319
MND1	4	153344623	153415118
TLR2	4	153684050	153708537
RNF175	4	153710160	153760031
SFRP2	4	153780591	153789083
PLRG1	4	154535005	154550403
FGB	4	154562971	154572807
FGA	4	154583126	154590745
FGG	4	154604134	154612967
LRAT	4	154626945	154753120
RBM46	4	154781213	154828813
NPY2R	4	155208636	155217078
MAP9	4	155342658	155376970
TDO2	4	155854738	155920414
CTSO	4	155921580	155953912
PDGFC	4	156760454	156971799
GLRB	4	157076100	157172090
GRIA2	4	157204182	157387146
TMEM144	4	158201604	158255416
RXFP1	4	158315311	158653372
C4orf46	4	158666675	158672255
ETFDH	4	158671968	158710758
PPID	4	158709127	158723406
FNIP2	4	158769026	158908050
RAPGEF2	4	159103013	159360174
FSTL5	4	161383897	162164005
NAF1	4	163110073	163166913
NPY1R	4	163323962	163344852
NPY5R	4	163343583	163352477
TKTL2	4	163471095	163473754
TMA16	4	163494442	163520733
APELA	4	164876944	164899007
TRIM61	4	164954446	164977668
FAM218A	4	164956946	164959122
TRIM60	4	165016458	165041749
TMEM192	4	165070608	165208549
KLHL2	4	165207561	165323156
MSMO1	4	165327667	165343180
CPE	4	165361194	165498547
LINC01179	4	165684639	165762778
TLL1	4	165873237	166104457
SPOCK3	4	166733384	167234796
ANXA10	4	168092537	168187736
DDX60	4	168216291	168318883
DDX60L	4	168356735	168537786
PALLD	4	168497052	168928457
CBR4	4	168863770	169010311
SH3RF1	4	169094259	169271185
NEK1	4	169369704	169612644
CLCN3	4	169612438	169723673
MFAP3L	4	169986597	170033031
AADAT	4	170060219	170091699
LINC01612	4	170226496	170284885
GALNTL6	4	171812254	173041559
GALNT7	4	173168811	173323967
HMGB2	4	173331376	173334456
SAP30	4	173369969	173377532
SCRG1	4	173384701	173410218
HAND2-AS1	4	173521334	173697469
HAND2	4	173524969	173530229
FBXO8	4	174236658	174283676
CEP44	4	174283295	174333380
HPGD	4	174490175	174523154
GLRA3	4	174636920	174829247
ADAM29	4	174829668	174978180
GPM6A	4	175632934	176003069
WDR17	4	176065840	176182820
SPATA4	4	176184579	176195585
ASB5	4	176213673	176277571
SPCS3	4	176319966	176332245
VEGFC	4	176683538	176792922
NEIL3	4	177309860	177362936
AGA	4	177430774	177442444
LINC01099	4	177686673	177908073
LINC01098	4	177728757	178029066
TENM3	4	182143918	182803024
DCTD	4	182890060	182917936
WWC2-AS2	4	183059174	183099199
WWC2	4	183099126	183320777
WWC2-AS1	4	183233628	183240634
CLDN22	4	183318100	183320276
CDKN2AIP	4	183444635	183449064
ING2	4	183505058	183512429
RWDD4	4	183639635	183659203
TRAPPC11	4	183659267	183713594
STOX2	4	183797692	184023526
ENPP6	4	184088706	184221230
IRF2	4	184385702	184474558
CASP3	4	184627695	184650418
PRIMPOL	4	184648461	184694963
CENPU	4	184694085	184734130
ACSL1	4	184755501	184826853
MIR3945HG	4	184843296	184855751
LINC01093	4	184892858	184899908
HELT	4	185018490	185020953
SLC25A4	4	185143233	185150382
CFAP97	4	185159665	185210815
SNX25	4	185204237	185390928
LRP2BP	4	185363655	185397288
ANKRD37	4	185396021	185400628
UFSP2	4	185399527	185425979
CCDC110	4	185445182	185471752
PDLIM3	4	185500660	185535507
SORBS2	4	185585444	185956652
TLR3	4	186068911	186088073
FAM149A	4	186104419	186175337
CYP4V2	4	186191475	186215245
KLKB1	4	186225424	186258476
F11	4	186260159	186291273
F11-AS1	4	186286094	186501064
MTNR1A	4	186526792	186555567
FAT1	4	186587791	186726722
ZFP42	4	187994044	188007005
TRIML2	4	188091247	188109611
TRIML1	4	188139441	188147743
LINC01060	4	188400569	188681051
LINC01262	4	189658539	189661491
LINC01596	4	189881210	189885082
FRG1	4	189940842	189963207
DBET	4	190064502	190067864
DUX4	4	190173774	190185942
PLEKHG4B	5	92128	189972
LRRC14B	5	191495	196334
CCDC127	5	196868	218153
SDHA	5	218274	257083
PDCD6	5	271621	314974
AHRR	5	320682	438291
EXOC3-AS1	5	441498	443160
EXOC3	5	442522	471937
CEP72	5	612330	667168
